BubbleName	BubbleType	UserType	Members	Admins	Invitees
Oxford Classifieds	resource	NetID	SLWINCH		
Oxford Classifieds	resource	NetID	HYOON47		
Oxford Classifieds	resource	NetID	HWAN265		
Oxford Classifieds	resource	NetID	PDICKSO		
Oxford Classifieds	resource	NetID	OGANGBO		
Oxford Classifieds	resource	NetID	RSCHLUS		
Oxford Classifieds	resource	NetID	AALBER2		
Oxford Classifieds	resource	NetID	KSWIGER		
Oxford Classifieds	resource	NetID	EBALEXA		
Oxford Classifieds	resource	NetID	FTFERNA		
Oxford Classifieds	resource	NetID	SSAHU2		
Oxford Classifieds	resource	NetID	SPUNJWA		
Oxford Classifieds	resource	NetID	AKALIDI		
Oxford Classifieds	resource	NetID	TEVRITT		
Oxford Classifieds	resource	NetID	CISDAHL		
Oxford Classifieds	resource	NetID	YLEE328		
Oxford Classifieds	resource	NetID	JAYOUN3		
Oxford Classifieds	resource	NetID	UDESHMU		
Oxford Classifieds	resource	NetID	DOH25		
Oxford Classifieds	resource	NetID	RLHOWEL		
Oxford Classifieds	resource	NetID	ACARIKE		
Oxford Classifieds	resource	NetID	PMACIAS		
Oxford Classifieds	resource	NetID	CCAI7		
Oxford Classifieds	resource	NetID	SLEE744		
Oxford Classifieds	resource	NetID	CMALEX2		
Oxford Classifieds	resource	NetID	YLEE362		
Oxford Classifieds	resource	NetID	JPAR529		
Oxford Classifieds	resource	NetID	LHILADO		
Oxford Classifieds	resource	NetID	CCALFOR		
Oxford Classifieds	resource	NetID	PMAGHEN		
Oxford Classifieds	resource	NetID	CWILEY2		
Oxford Classifieds	resource	NetID	FMACALU		
Oxford Classifieds	resource	NetID	JCHAPM9		
Oxford Classifieds	resource	NetID	VPANDE		
Oxford Classifieds	resource	NetID	JLE2224		
Oxford Classifieds	resource	NetID	YSHENG4		
Oxford Classifieds	resource	NetID	RHONG6		
Oxford Classifieds	resource	NetID	KROLAND		
Oxford Classifieds	resource	NetID	SBACON		
Oxford Classifieds	resource	NetID	ASTUDWE		
Oxford Classifieds	resource	NetID	SYE8		
Oxford Classifieds	resource	NetID	JBARKL3		
Oxford Classifieds	resource	NetID	DKIM422		
Oxford Classifieds	resource	NetID	AKHANAN		
Oxford Classifieds	resource	NetID	HAIDA		
Oxford Classifieds	resource	NetID	JSOH7		
Oxford Classifieds	resource	NetID	CALOZIE		
Oxford Classifieds	resource	NetID	MMA7		
Oxford Classifieds	resource	NetID	PASHAH2		
Oxford Classifieds	resource	NetID	DHJACK2		
Oxford Classifieds	resource	NetID	NGARTZM		
Oxford Classifieds	resource	NetID	HKEUM		
Oxford Classifieds	resource	NetID	JMMCMUL		
Oxford Classifieds	resource	NetID	YLAI22		
Oxford Classifieds	resource	NetID	RLEE38		
Oxford Classifieds	resource	NetID	CCACCI2		
Oxford Classifieds	resource	NetID	MHAHN7		
Oxford Classifieds	resource	NetID	CEALEX2		
Oxford Classifieds	resource	NetID	QGUO9		
Oxford Classifieds	resource	NetID	ZHOSSA3		
Oxford Classifieds	resource	NetID	AKAMBHA		
Oxford Classifieds	resource	NetID	JSONG55		
Oxford Classifieds	resource	NetID	JVUONG		
Oxford Classifieds	resource	NetID	PTHIRKA		
Oxford Classifieds	resource	NetID	ZJIN9		
Oxford Classifieds	resource	NetID	YMA37		
Oxford Classifieds	resource	NetID	ASUGURO		
Oxford Classifieds	resource	NetID	YTANG44		
Oxford Classifieds	resource	NetID	YWAN384		
Oxford Classifieds	resource	NetID	YXU86		
Oxford Classifieds	resource	NetID	EZHOU3		
Oxford Classifieds	resource	NetID	MZHOU29		
Oxford Classifieds	resource	NetID	XZHU37		
Oxford Classifieds	resource	NetID	KKLOSTE		
Oxford Classifieds	resource	NetID	LJIAN34		
Oxford Classifieds	resource	NetID	CHOSIER		
Oxford Classifieds	resource	NetID	SCHARA4		
Oxford Classifieds	resource	NetID	CLIU68		
Oxford Classifieds	resource	NetID	SMADAN3		
Oxford Classifieds	resource	NetID	ASUFI		
Oxford Classifieds	resource	NetID	ZCHENGK		
Oxford Classifieds	resource	NetID	LWANG94		
Oxford Classifieds	resource	NetID	YPANG2		
Oxford Classifieds	resource	NetID	HQI6		
Oxford Classifieds	resource	NetID	JSHISHI		
Oxford Classifieds	resource	NetID	JPAU		
Oxford Classifieds	resource	NetID	CFHAHN		
Oxford Classifieds	resource	NetID	WSEEBUR		
Oxford Classifieds	resource	NetID	CEGLUCK		
Oxford Classifieds	resource	NetID	JCHURA		
Oxford Classifieds	resource	NetID	YSHEN57		
Oxford Classifieds	resource	NetID	YHU53		
Oxford Classifieds	resource	NetID	JJPANG		
Oxford Classifieds	resource	NetID	SCHALAS		
Oxford Classifieds	resource	NetID	ZZACHEY		
Oxford Classifieds	resource	NetID	JHUGH22		
Oxford Classifieds	resource	NetID	JDEGUTI		
Oxford Classifieds	resource	NetID	SNHERND		
Oxford Classifieds	resource	NetID	SSTUBB2		
Oxford Classifieds	resource	NetID	FLAND		
Oxford Classifieds	resource	NetID	RHAVRAN		
Oxford Classifieds	resource	NetID	AHEWITS		
Oxford Classifieds	resource	NetID	RKRIMS		
Oxford Classifieds	resource	NetID	SSBHARW		
Oxford Classifieds	resource	NetID	RGLASBE		
Oxford Classifieds	resource	NetID	LSYED		
Oxford Classifieds	resource	NetID	YSUNG23		
Oxford Classifieds	resource	NetID	NARADHY		
Oxford Classifieds	resource	NetID	ZLI2223		
Oxford Classifieds	resource	NetID	TAMOON		
Oxford Classifieds	resource	NetID	ABALAJI		
Oxford Classifieds	resource	NetID	BWBARBE		
Oxford Classifieds	resource	NetID	CEUROPE		
Oxford Classifieds	resource	NetID	EPARK49		
Oxford Classifieds	resource	NetID	HHOJEIJ		
Oxford Classifieds	resource	NetID	OOLOWOL		
Oxford Classifieds	resource	NetID	JLABARC		
Oxford Classifieds	resource	NetID	NFHUSSA		
Oxford Classifieds	resource	NetID	NKADIMA		
Oxford Classifieds	resource	NetID	MTERAN		
Oxford Classifieds	resource	NetID	MFCOSTL		
Oxford Classifieds	resource	NetID	HSMIT24		
Oxford Classifieds	resource	NetID	MZTSAI		
Oxford Classifieds	resource	NetID	GCLARK2		
Oxford Classifieds	resource	NetID	NNOORDI		
Oxford Classifieds	resource	NetID	XCHEN85		
Oxford Classifieds	resource	NetID	SHUAN43		
Oxford Classifieds	resource	NetID	TKWON6		
Oxford Classifieds	resource	NetID	VPAREK3		
Oxford Classifieds	resource	NetID	CCLAR32		
Oxford Classifieds	resource	NetID	WTANG22		
Oxford Classifieds	resource	NetID	FBHARWA		
Oxford Classifieds	resource	NetID	PRUSAKO		
Oxford Classifieds	resource	NetID	TYIM2		
Oxford Classifieds	resource	NetID	CWAN222		
Oxford Classifieds	resource	NetID	HMYU		
Oxford Classifieds	resource	NetID	SHALE3		
Oxford Classifieds	resource	NetID	AMOWELL		
Oxford Classifieds	resource	NetID	SHUSAI5		
Oxford Classifieds	resource	NetID	BKEENER		
Oxford Classifieds	resource	NetID	OZARELL		
Oxford Classifieds	resource	NetID	XLIU223		
Oxford Classifieds	resource	NetID	BQIU2		
Oxford Classifieds	resource	NetID	IODELUG		
Oxford Classifieds	resource	NetID	NRFRANC		
Oxford Classifieds	resource	NetID	SCHEN88		
Oxford Classifieds	resource	NetID	SSONG52		
Oxford Classifieds	resource	NetID	ZHEYMAN		
Oxford Classifieds	resource	NetID	AZACHOW		
Oxford Classifieds	resource	NetID	KOGBURN		
Oxford Classifieds	resource	NetID	PSWAN2		
Oxford Classifieds	resource	NetID	SAGUILE		
Oxford Classifieds	resource	NetID	YLU67		
Oxford Classifieds	resource	NetID	FWU27		
Oxford Classifieds	resource	NetID	FWARES		
